,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
4211,2010-05-11,ETD,4.828,-77.1321,-56.9375,0.8512,0.9199,-0.6783,-0.0477,0.4092,-0.183,0.5922,-0.2313,-0.208,-0.0233,-5.6922,-0.4223,96.9521
4212,2010-05-10,ETD,-33.3915,-94.7468,-58.4668,0.8138,0.9456,-0.7872,-0.1902,0.4439,-0.194,0.6379,-0.2266,-0.2554,0.0287,-6.5607,-1.6801,88.4563
4213,2010-05-07,ETD,-96.2963,-177.0835,-116.1865,0.7452,0.8645,-0.9062,-0.405,0.4746,-0.2118,0.6864,-0.2347,-0.3273,0.0926,-7.508,-3.5609,-97.9424
4214,2010-05-06,ETD,-89.6881,-172.2904,-84.7987,0.8016,0.9484,-0.8194,-0.4655,0.5508,-0.1886,0.7394,-0.1336,-0.308,0.1744,-6.6884,-3.9846,-99.579
4215,2010-05-05,ETD,-94.1479,-167.5383,-63.8341,0.8423,0.9459,-0.7124,-0.5917,0.614,-0.1725,0.7865,-0.0541,-0.3055,0.2514,-5.7503,-4.9521,-116.4518
4216,2010-05-04,ETD,-98.5669,-143.1484,-32.8931,0.8974,0.9421,-0.5305,-0.6909,0.6812,-0.1485,0.8296,0.0436,-0.2841,0.3278,-4.2345,-5.6418,-110.9265
4217,2010-05-03,ETD,-90.3328,-100.7485,2.5478,0.9518,0.9581,-0.3014,-0.6883,0.7486,-0.1181,0.8668,0.1533,-0.2455,0.3988,-2.381,-5.4887,-62.1462
4218,2010-04-30,ETD,-109.0162,-116.9027,-0.2479,0.9369,0.9587,-0.0829,-0.5812,0.8058,-0.0905,0.8963,0.2506,-0.2095,0.4602,-0.6499,-4.5502,-79.1434
4219,2010-04-29,ETD,-92.1654,-70.6959,26.9343,0.9539,1.0188,0.1874,-0.2766,0.8756,-0.0433,0.9189,0.3915,-0.1211,0.5125,1.4557,-2.119,-93.5933
4220,2010-04-28,ETD,-78.6502,-32.4195,45.6303,0.9577,1.0282,0.4003,0.0604,0.9298,0.0001,0.9297,0.5124,-0.0304,0.5428,3.0936,0.4559,-166.6667
4221,2010-04-27,ETD,69.6114,164.7593,132.3556,1.0791,1.1586,0.5889,0.4219,0.979,0.0493,0.9297,0.6373,0.0869,0.5504,4.5357,3.1436,9.8951
4222,2010-04-26,ETD,135.9043,250.9358,153.865,1.1419,1.2606,0.5992,0.549,0.9796,0.0623,0.9174,0.6589,0.1302,0.5287,4.6444,4.1146,81.5857
4223,2010-04-23,ETD,189.244,288.4625,149.6451,1.1369,1.2065,0.4713,0.447,0.9435,0.0417,0.9018,0.5925,0.0964,0.4961,3.7026,3.4167,110.8983
4224,2010-04-22,ETD,228.067,259.6701,125.3182,1.1384,1.1673,0.3203,0.2623,0.9044,0.013,0.8914,0.5102,0.0382,0.472,2.5511,2.0475,128.6577
4225,2010-04-21,ETD,186.0746,186.1985,96.8834,1.0982,1.1013,0.1899,0.0804,0.8726,-0.0155,0.8882,0.4352,-0.0273,0.4625,1.5299,0.6393,132.1631
